id,date_created,date_updated,message,product_code,reference,status,world_remit_id,wrid
36772,2021-02-01T14:25:01.996Z[GMT],2021-02-01T14:25:51.229Z[GMT],Transaction completed successfully,MobileMoney,836402970001,Success,836402970001,83640297
38746,2021-02-03T22:20:03.385Z[GMT],2021-02-03T22:20:48.087Z[GMT],Transaction completed successfully,MobileMoney,834144930001,Success,834144930001,83414493
39248,2021-02-04T08:30:01.407Z[GMT],2021-02-04T08:30:47.927Z[GMT],Transaction completed successfully,MobileMoney,834144930002,Success,834144930002,83414493
40804,2021-02-05T12:30:01.219Z[GMT],2021-02-05T12:30:49.967Z[GMT],Transaction completed successfully,MobileMoney,834975655120,Success,834975655120,83497565
41246,2021-02-05T18:00:02.119Z[GMT],2021-02-05T18:00:48.311Z[GMT],Transaction completed successfully,MobileMoney,834144930003,Success,834144930003,83414493
47118,2021-02-08T13:10:01.937Z[GMT],2021-02-08T13:10:48.179Z[GMT],Transaction completed successfully,MobileMoney,834975655121,Success,834975655121,83497565
47119,2021-02-08T13:10:01.936Z[GMT],2021-02-08T13:10:49.718Z[GMT],Transaction completed successfully,MobileMoney,834649783167,Success,834649783167,83464978
59564,2021-02-12T08:00:01.852Z[GMT],2021-02-12T08:00:07.590Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,844825640001,Failed,844825640001,84482564
61678,2021-02-12T20:55:01.432Z[GMT],2021-03-17T04:01:57.142Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,84639901,Failed,84639901,84639901
61784,2021-02-12T21:25:04.031Z[GMT],2021-02-12T21:25:08.692Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,844825640002,Failed,844825640002,84482564
62048,2021-02-12T22:45:01.024Z[GMT],2021-02-12T22:45:43.565Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,MobileMoney,846485600001,Failed,846485600001,84648560
64208,2021-02-13T11:50:01.493Z[GMT],2021-02-13T11:50:47.114Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,MobileMoney,846485600002,Failed,846485600002,84648560
64220,2021-02-13T11:50:01.669Z[GMT],2021-02-13T11:50:46.007Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,MobileMoney,846401970001,Failed,846401970001,84640197
64409,2021-02-13T13:55:02.107Z[GMT],2021-02-13T13:55:45.157Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,MobileMoney,846485600003,Failed,846485600003,84648560
64430,2021-02-13T13:55:02.526Z[GMT],2021-02-13T13:55:46.756Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,MobileMoney,846401970002,Failed,846401970002,84640197
64467,2021-02-13T14:00:02.137Z[GMT],2021-02-13T14:00:44.812Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,MobileMoney,846485600004,Failed,846485600004,84648560
64487,2021-02-13T14:00:02.914Z[GMT],2021-02-13T14:00:08.942Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,844825640003,Failed,844825640003,84482564
64520,2021-02-13T14:00:04.881Z[GMT],2021-02-13T14:00:48.390Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,MobileMoney,846401970003,Failed,846401970003,84640197
64552,2021-02-13T14:10:01.124Z[GMT],2021-02-13T14:10:03.448Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,844825640004,Failed,844825640004,84482564
64572,2021-02-13T14:15:01.255Z[GMT],2021-02-13T14:15:04.110Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,844825640005,Failed,844825640005,84482564
64604,2021-02-13T14:45:01.176Z[GMT],2021-02-13T14:45:03.855Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,844825640006,Failed,844825640006,84482564
64620,2021-02-13T14:55:03.184Z[GMT],2021-02-13T14:55:05.160Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,844825640007,Failed,844825640007,84482564
64672,2021-02-13T15:50:01.153Z[GMT],2021-02-13T15:50:06.679Z[GMT],Transaction completed successfully,BankTransfer,844825640008,Success,844825640008,84482564
64682,2021-02-13T15:55:01.225Z[GMT],2021-02-13T15:55:06.352Z[GMT],Transaction completed successfully,BankTransfer,844825640009,Success,844825640009,84482564
64744,2021-02-13T16:50:00.959Z[GMT],2021-02-13T16:50:06.372Z[GMT],Transaction completed successfully,BankTransfer,844825640010,Success,844825640010,84482564
64899,2021-02-13T19:40:01.415Z[GMT],2021-02-13T19:40:44.708Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,MobileMoney,846401970004,Failed,846401970004,84640197
64911,2021-02-13T19:40:01.546Z[GMT],2021-02-13T19:40:45.194Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,MobileMoney,846485600005,Failed,846485600005,84648560
65217,2021-02-14T00:00:10.309Z[GMT],2021-02-14T00:00:52.073Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,MobileMoney,846401970005,Failed,846401970005,84640197
65230,2021-02-14T00:00:10.552Z[GMT],2021-02-14T00:00:54.414Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,MobileMoney,846485600006,Failed,846485600006,84648560
65729,2021-02-14T08:00:01.397Z[GMT],2021-02-14T08:00:45.729Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,MobileMoney,846485600007,Failed,846485600007,84648560
65735,2021-02-14T08:00:01.428Z[GMT],2021-02-14T08:00:45.188Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,MobileMoney,846401970006,Failed,846401970006,84640197
66092,2021-02-14T12:40:01.269Z[GMT],2021-02-14T12:41:21.436Z[GMT],Transaction completed successfully,MobileMoney,846401970007,Success,846401970007,84640197
66110,2021-02-14T12:40:01.567Z[GMT],2021-02-14T12:41:21.635Z[GMT],Transaction completed successfully,MobileMoney,846485600008,Success,846485600008,84648560
75631,2021-02-16T02:30:01.065Z[GMT],2021-02-16T02:31:26.893Z[GMT],Transaction failed reason Mobile Account number invalid,MobileMoney,846401970008,Failed,846401970008,84640197
76880,2021-02-16T07:00:01.864Z[GMT],2021-02-16T07:00:51.919Z[GMT],Transaction completed successfully,MobileMoney,846401970009,Success,846401970009,84640197
77433,2021-02-16T08:35:03Z[GMT],2021-02-16T08:35:07.125Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,MobileMoney,846401970010,Failed,846401970010,84640197
79043,2021-02-16T14:45:01.128Z[GMT],2021-02-16T14:45:06.880Z[GMT],Transaction completed successfully,BankTransfer,846399010001,Success,846399010001,84639901
80347,2021-02-16T18:05:01.780Z[GMT],2021-02-16T18:06:04.716Z[GMT],Transaction completed successfully,BankTransfer,846399010002,Success,846399010002,84639901
80385,2021-02-16T18:10:02.101Z[GMT],2021-02-16T18:10:08.725Z[GMT],Transaction completed successfully,BankTransfer,846399010003,Success,846399010003,84639901
83043,2021-02-17T02:05:01.711Z[GMT],2021-02-17T02:06:27.699Z[GMT],Transaction failed reason Mobile Account number invalid,MobileMoney,846401970011,Failed,846401970011,84640197
83415,2021-02-17T03:05:01.022Z[GMT],2021-02-17T03:06:26.122Z[GMT],Transaction failed reason Mobile Account number invalid,MobileMoney,846401970012,Failed,846401970012,84640197
92498,2021-02-18T06:00:02.886Z[GMT],2021-02-18T06:00:26.380Z[GMT],Transaction completed successfully,BankTransfer,844825640011,Success,844825640011,84482564
92634,2021-02-18T06:00:05.384Z[GMT],2021-03-17T04:03:06.830Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,84693140,Failed,84693140,84693140
92753,2021-02-18T06:00:07.581Z[GMT],2021-03-17T04:03:03.173Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,84928075,Failed,84928075,84928075
92781,2021-02-18T06:00:08.009Z[GMT],2021-03-17T04:03:09.080Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,84962740,Failed,84962740,84962740
92851,2021-02-18T06:00:09.818Z[GMT],2021-03-17T04:03:23.814Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,84401432,Failed,84401432,84401432
93319,2021-02-18T06:20:03.374Z[GMT],2021-02-18T06:20:16.864Z[GMT],Transaction completed successfully,BankTransfer,844825640012,Success,844825640012,84482564
95616,2021-02-18T13:20:02.468Z[GMT],2021-02-18T13:20:38.248Z[GMT],Transaction completed successfully,BankTransfer,846931400001,Success,846931400001,84693140
95623,2021-02-18T13:20:02.548Z[GMT],2021-02-18T13:20:38.246Z[GMT],Transaction completed successfully,BankTransfer,849280750001,Success,849280750001,84928075
95630,2021-02-18T13:20:03.190Z[GMT],2021-02-18T13:20:38.408Z[GMT],Transaction completed successfully,BankTransfer,849627400001,Success,849627400001,84962740
96539,2021-02-18T15:25:01.066Z[GMT],2021-02-18T15:25:37.267Z[GMT],Transaction completed successfully,BankTransfer,847499250001,Success,847499250001,84749925
96583,2021-02-18T15:30:01.166Z[GMT],2021-02-18T15:30:39.286Z[GMT],Transaction completed successfully,BankTransfer,847499250002,Success,847499250002,84749925
96771,2021-02-18T15:55:00.982Z[GMT],2021-02-18T15:55:42.224Z[GMT],Transaction completed successfully,BankTransfer,847499250003,Success,847499250003,84749925
96975,2021-02-18T16:20:01.329Z[GMT],2021-02-18T16:20:11.841Z[GMT],Transaction completed successfully,BankTransfer,847499250004,Success,847499250004,84749925
97505,2021-02-18T17:25:01.369Z[GMT],2021-02-18T17:26:04.566Z[GMT],Transaction completed successfully,BankTransfer,847499250006,Success,847499250006,84749925
103747,2021-02-19T07:45:00.974Z[GMT],2021-02-19T07:45:10.234Z[GMT],Transaction completed successfully,BankTransfer,849627400002,Success,849627400002,84962740
104890,2021-02-19T11:00:01.476Z[GMT],2021-02-19T11:00:55.073Z[GMT],Transaction completed successfully,BankTransfer,844014320001,Success,844014320001,84401432
116029,2021-02-20T11:40:01.914Z[GMT],2021-02-20T11:40:09.028Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,850922200001,Failed,850922200001,85092220
116148,2021-02-20T11:55:01.186Z[GMT],2021-02-20T11:55:07.106Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,850922200002,Failed,850922200002,85092220
121722,2021-02-20T23:55:06.712Z[GMT],2021-02-20T23:55:40.805Z[GMT],Transaction failed reason Bank account number invalid,BankTransfer,847499250007,Failed,847499250007,84749925
139581,2021-02-22T13:45:01.687Z[GMT],2021-02-22T13:45:09.018Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,850683150001,Failed,850683150001,85068315
142645,2021-02-22T19:45:01.371Z[GMT],2021-02-22T19:45:51.540Z[GMT],Transaction completed successfully,MobileMoney,849993120001,Success,849993120001,84999312
151166,2021-02-23T12:25:01.023Z[GMT],2021-03-17T04:03:21.753Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,85487837,Failed,85487837,85487837
152175,2021-02-23T14:30:01.220Z[GMT],2021-02-23T14:30:09.833Z[GMT],Transaction completed successfully,BankTransfer,847499250008,Success,847499250008,84749925
164776,2021-02-24T15:10:01.484Z[GMT],2021-02-24T15:10:18.868Z[GMT],Transaction completed successfully,BankTransfer,854878370001,Success,854878370001,85487837
182416,2021-02-25T08:10:02.319Z[GMT],2021-03-17T04:03:23.081Z[GMT],Transaction failed reason Transaction could not be paid due to technical issue,BankTransfer,854878370002,Failed,854878370002,85487837
191730,2021-02-25T17:15:01.274Z[GMT],2021-02-25T17:15:15.252Z[GMT],Transaction completed successfully,BankTransfer,856726450303,Success,856726450303,85672645
191736,2021-02-25T17:15:01.401Z[GMT],2021-02-25T17:15:01.401Z[GMT],Transaction sent to consumer for processing and locked,BankTransfer,856723410001,INITIALIZED,856723410001,85672341
210222,2021-02-26T12:30:01.135Z[GMT],2021-02-26T12:30:34.371Z[GMT],Transaction completed successfully,BankTransfer,854820000001,Success,854820000001,85482000
236575,2021-02-28T09:40:00.915Z[GMT],2021-02-28T09:40:34.986Z[GMT],Transaction completed successfully,BankTransfer,856723410002,Success,856723410002,85672341
