preproduction payer_id,payer_name,payer_country,payer_service,payer_currency,transaction_type
2838,All Banks Andorra / EUR / Payment System: SEPA,Andorra,BankAccount,EUR,C2C
2007,All Banks Austria / EUR / Payment System: SEPA,Austria,BankAccount,EUR,C2C
2006,All Banks Belgium / EUR / Payment System: SEPA,Belgium,BankAccount,EUR,C2C
565,Orange Money,Botswana,MobileWallet,BWP,C2C
2827,All Banks Bulgaria / EUR / Payment System: SEPA,Bulgaria,BankAccount,EUR,C2C
958,Ecocash,Burundi,MobileWallet,BIF,C2C
2067,UnionPay,China,BankAccount,CNY,B2C
2067,UnionPay,China,BankAccount,CNY,C2C
2828,All Banks Croatia / EUR / Payment System: SEPA,Croatia,BankAccount,EUR,C2C
2003,All Banks Cyprus / EUR / Payment System: SEPA,Cyprus,BankAccount,EUR,C2C
2829,All Banks Czech Republic / EUR / Payment System: SEPA,Czech Republic,BankAccount,EUR,C2C
2830,All Banks Denmark / EUR / Payment System: SEPA,Denmark,BankAccount,EUR,C2C
2005,All Banks Estonia / EUR / Payment System: SEPA,Estonia,BankAccount,EUR,C2C
498,HelloCash,Ethiopia,MobileWallet,ETB,C2C
2004,All Banks Finland / EUR / Payment System: SEPA,Finland,BankAccount,EUR,C2C
1808,All Banks France / EUR / Payment System: SEPA,France,BankAccount,EUR,C2C
1809,All Banks Germany / EUR / Payment System: SEPA,Germany,BankAccount,EUR,C2C
1669,Access Bank,Ghana,BankAccount,GHS,C2C
1669,Access Bank,Ghana,BankAccount,GHS,B2B
1806,Agricultural Development Bank,Ghana,BankAccount,GHS,C2C
2585,Barclays Bank,Ghana,BankAccount,GHS,C2C
2585,Barclays Bank,Ghana,BankAccount,GHS,B2B
1670,Cal Bank,Ghana,BankAccount,GHS,B2B
1670,Cal Bank,Ghana,BankAccount,GHS,C2C
2908,Consolidated Bank Ghana Limited (CBG),Ghana,BankAccount,GHS,C2C
2908,Consolidated Bank Ghana Limited (CBG),Ghana,BankAccount,GHS,B2B
1246,Ecobank,Ghana,BankAccount,GHS,C2C
1246,Ecobank,Ghana,BankAccount,GHS,B2B
