payer_id,payer_name,payer_country,payer_service,payer_currency,transaction_type,min_amount,max_amount,precision,increment,required_sender,required_beneficiary,credit_party_identifiers_accepted,credit_party_information,credit_party_verification,credit_party_information_credit_party_identifiers_accepted,credit_party_verification_credit_party_identifiers_accepted,credit_party_verification_required_receiving_entity_fields,required_documents
1005,AB Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1003,Agrani Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1004,Al-Arafah Islami Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1006,Bangladesh Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1007,Bangladesh Commerce Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1010,Bangladesh Development Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1008,Bangladesh Krishi Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1009,Bangladesh Samabaya Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1013,Bank Al-Falah,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1014,Bank Asia,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
