ID,Work Item Type,Title,State,Area Path,Iteration Path,Tags
"6448","Task","Unlock a locked transaction","In Progress","IMT Projects","IMT Projects\Sprint 4",
"6450","Task","Mark the locked transaction as paid","In Progress","IMT Projects","IMT Projects\Sprint 4",
"6454","Task","Mark a locked transaction as Failed with Response code ""0001"" (""Bank account number invalid"")","In Progress","IMT Projects","IMT Projects\Sprint 4",
"6456","Task","Mark a locked transaction as paid","In Progress","IMT Projects","IMT Projects\Sprint 4",
"6458","Task","Mark a locked transaction as Failed with Response code ""0002"" (""Recipient contact details invalid"")","To Do","IMT Projects","IMT Projects\Sprint 4","Bank"
"6460","Task","Mark a locked transaction as Failed with Response code ""0003"" (""Bank account type not supported"")","To Do","IMT Projects","IMT Projects\Sprint 4","Bank"
"6462","Task","Mark a locked transaction as Failed with Response code ""0005"" (""Bank code invalid"")","To Do","IMT Projects","IMT Projects\Sprint 4","Bank"
"6464","Task","Mark a locked transaction as Failed with Response code ""0006"" (""Invalid bank branch code"")","To Do","IMT Projects","IMT Projects\Sprint 4","Bank"
"6466","Task","Mark a locked transaction as Failed with Response code ""0007"" (""Account dormant or inactive"")","To Do","IMT Projects","IMT Projects\Sprint 4","Bank"
"6468","Task","Mark a locked transaction as Failed with Response code ""0008"" (""Account held in a different currency type"")","To Do","IMT Projects","IMT Projects\Sprint 4","Bank"
"6470","Task","Mark a locked transaction as Failed with Response code ""0009"" (""Missing or incomplete recipient reference"")","To Do","IMT Projects","IMT Projects\Sprint 4","Bank"
"6472","Task","Mark a locked transaction as Failed with Response code ""0010"" (""Recipient account name mismatch"")","To Do","IMT Projects","IMT Projects\Sprint 4","Bank"
"5573","Product Backlog Item","Additional Services on consumer","Done","IMT Projects","IMT Projects\Sprint 3",
"5574","Task","Create Daily Limits (Max amount allowed per day) ","Done","IMT Projects","IMT Projects\Sprint 3",
"5575","Task","Create Transaction Limits (ie. Max and Min) ","Done","IMT Projects","IMT Projects\Sprint 3",
"5576","Task","Update provided apicode with mobile wallet code","Done","IMT Projects","IMT Projects\Sprint 3",
"4009","Task","Add telemetry","Done","IMT Projects","IMT Projects\Sprint 3",
"4556","Product Backlog Item","World Remit - TPG Integration ","Done","IMT Projects","IMT Projects\Sprint 1",
"4558","Task","Telco wallets TPG adapter creation","Done","IMT Projects","IMT Projects\Sprint 2",
"4559","Task","Pesalink TPG adapter creation","Done","IMT Projects","IMT Projects\Sprint 2",
"4557","Task","Core banking TPG adapter creation","Done","IMT Projects","IMT Projects\Sprint 2",
"4574","Task","Transaction status check","Done","IMT Projects","IMT Projects\Sprint 2",
