ID,Work Item Type,Title,State,Area Path,Iteration Path,Tags
"684","Task","Create Proxy","Done","SOA","SOA\Smart-ERP Integration",
"683","Task","Create Transformation","Done","SOA","SOA\Smart-ERP Integration",
"682","Task","Create Business Service and Pipeline","Done","SOA","SOA\Smart-ERP Integration",
"688","Task","Create Proxy","Done","SOA","SOA\Smart-ERP Integration",
"686","Task","Create Business Service and Pipeline","Done","SOA","SOA\Smart-ERP Integration",
"687","Task","Create Transformation","Done","SOA","SOA\Smart-ERP Integration",
"692","Task","Create Proxy","Done","SOA","SOA\Smart-ERP Integration",
"691","Task","Create Transformation","Done","SOA","SOA\Smart-ERP Integration",
"690","Task","Create Business Service and Pipeline","Done","SOA","SOA\Smart-ERP Integration",
"616","Task","Create Business Service and Pipeline","Done","SOA","SOA\Smart-ERP Integration",
"618","Task","Create Proxy","Done","SOA","SOA\Smart-ERP Integration",
"617","Task","Create Transformation","Done","SOA","SOA\Smart-ERP Integration",
"624","Task","Create Business Service and Pipeline","Done","SOA","SOA\Smart-ERP Integration",
"626","Task","Create Proxy","Done","SOA","SOA\Smart-ERP Integration",
"625","Task","Create Transformation","Done","SOA","SOA\Smart-ERP Integration",
"628","Task","Create Business Service and Pipeline","Done","SOA","SOA\Smart-ERP Integration",
"630","Task","Create Proxy","Done","SOA","SOA\Smart-ERP Integration",
"629","Task","Create Transformation","Done","SOA","SOA\Smart-ERP Integration",
"633","Task","Create Business Service and Pipeline","Done","SOA","SOA\Smart-ERP Integration",
"635","Task","Create Proxy","Done","SOA","SOA\Smart-ERP Integration",
"634","Task","Create Transformation","Done","SOA","SOA\Smart-ERP Integration",
"653","Task","Create Business Service and Pipeline","Done","SOA","SOA\Smart-ERP Integration",
"655","Task","Create Proxy","Done","SOA","SOA\Smart-ERP Integration",
"654","Task","Create Transformation","Done","SOA","SOA\Smart-ERP Integration",
"620","Task","Create Business Service and Pipeline","Done","SOA","SOA\Smart-ERP Integration",
"622","Task","Create Proxy","Done","SOA","SOA\Smart-ERP Integration",
"621","Task","Create Transformation","Done","SOA","SOA\Smart-ERP Integration",
"637","Task","Create Business Service and Pipeline","Done","SOA","SOA\Smart-ERP Integration",
"639","Task","Create Proxy","Done","SOA","SOA\Smart-ERP Integration",
"638","Task","Create Transformation","Done","SOA","SOA\Smart-ERP Integration",
"678","Task","Create Business Service and Pipeline","Done","SOA","SOA\Smart-ERP Integration",
"680","Task","Create Proxy","Done","SOA","SOA\Smart-ERP Integration",
"679","Task","Create Transformation","Done","SOA","SOA\Smart-ERP Integration",
"674","Task","Create Business Service and Pipeline","Done","SOA","SOA\Smart-ERP Integration",
"676","Task","Create Proxy","Done","SOA","SOA\Smart-ERP Integration",
"675","Task","Create Transformation","Done","SOA","SOA\Smart-ERP Integration",
"641","Task","Create Business Service and Pipeline","Done","SOA","SOA\Smart-ERP Integration",
"643","Task","Create Proxy","Done","SOA","SOA\Smart-ERP Integration",
"642","Task","Create Transformation","Done","SOA","SOA\Smart-ERP Integration",
"649","Task","Create Business Service and Pipeline","Done","SOA","SOA\Smart-ERP Integration",
