id,message,product_code,reference,status,world_remit_id,bank_detail_id,corridor_detail_id,financial_detail_id,recipient_detail_id,sender_detail_id,tried_times,date_updated,date_added,date_created,transaction_status_id
232,Transaction sent to consumer for processing,MobileMoney,27932739,INITIALIZED,27932739,233,234,235,236,237,,,,,
240,Transaction sent to consumer for processing,BankTransfer,27939359,INITIALIZED,27939359,241,242,243,244,245,,,,,
256,Transaction sent to consumer for processing,BankTransfer,27939758,INITIALIZED,27939758,259,260,265,266,267,,,,,
257,Transaction sent to consumer for processing,BankTransfer,27941867,INITIALIZED,27941867,258,261,262,263,264,,,,,
272,Transaction failed reason Transaction Failed- Failed to reach third party system,MobileMoney,27942298,Failed,27942298,273,274,275,276,277,,,,,
278,Transaction sent to consumer for processing,BankTransfer,27942254,INITIALIZED,27942254,280,282,284,286,288,,,,,
279,Transaction failed reason Transaction Failed- Failed to reach third party system,MobileMoney,27942300,Failed,27942300,281,283,285,287,289,,,,,
290,Transaction failed reason Transaction Failed- Failed to reach third party system,MobileMoney,27942301,Failed,27942301,291,292,293,294,295,,,,,
296,Transaction sent to consumer for processing,BankTransfer,27942175,INITIALIZED,27942175,297,298,299,300,301,,,,,
307,Transaction failed reason Transaction Failed- Failed to reach third party system,MobileMoney,27942304,Failed,27942304,308,309,310,311,312,,,,,
314,Transaction failed reason Transaction Failed- Failed to reach third party system,MobileMoney,27942302,Failed,27942302,315,316,317,318,319,,,,,
320,Transaction failed reason Transaction Failed- Failed to reach third party system,MobileMoney,27942305,Failed,27942305,321,322,325,328,335,,,,,
323,Transaction sent to consumer for processing,BankTransfer,27942313,INITIALIZED,27942313,326,330,333,334,337,,,,,
324,Transaction failed reason Read timed out,MobileMoney,27942307,Failed,27942307,327,329,331,332,336,,,,,
342,Transaction sent to consumer for processing,BankTransfer,27942319,INITIALIZED,27942319,344,347,350,353,356,,,,,
343,Transaction sent to consumer for processing,BankTransfer,27942327,INITIALIZED,27942327,345,348,352,357,359,,,,,
346,Transaction sent to consumer for processing,BankTransfer,27942323,INITIALIZED,27942323,349,351,354,355,358,,,,,
360,Transaction sent to consumer for processing,BankTransfer,27942316,INITIALIZED,27942316,361,362,363,364,365,,,,,
367,Transaction sent to consumer for processing,BankTransfer,27942337,INITIALIZED,27942337,368,369,370,371,372,,,,,
377,Transaction sent to consumer for processing,BankTransfer,27942338,INITIALIZED,27942338,378,379,380,381,382,,,,,
383,Transaction sent to consumer for processing,BankTransfer,27942346,INITIALIZED,27942346,389,392,397,399,400,,,,,
384,Transaction sent to consumer for processing,BankTransfer,27942343,INITIALIZED,27942343,385,387,390,393,395,,,,,
386,Transaction sent to consumer for processing,BankTransfer,27942340,INITIALIZED,27942340,388,391,394,396,398,,,,,
401,Transaction sent to consumer for processing,BankTransfer,27942353,INITIALIZED,27942353,402,403,404,405,406,,,,,
412,Transaction sent to consumer for processing,BankTransfer,27942358,INITIALIZED,27942358,413,414,415,416,417,,,,,
418,Transaction sent to consumer for processing,BankTransfer,27942361,INITIALIZED,27942361,419,420,421,423,424,,,,,
425,Transaction sent to consumer for processing,BankTransfer,27942360,INITIALIZED,27942360,426,427,428,429,430,,,,,
431,Transaction sent to consumer for processing,BankTransfer,27942355,INITIALIZED,27942355,432,433,434,435,436,,,,,
437,Transaction sent to consumer for processing,BankTransfer,27942364,INITIALIZED,27942364,438,439,440,441,442,,,,,
447,Transaction failed reason Read timed out,MobileMoney,27943199,Failed,27943199,449,453,455,457,458,,,,,
448,Transaction sent to consumer for processing,BankTransfer,27942368,INITIALIZED,27942368,450,451,452,454,456,,,,,
488,Transaction sent to consumer for processing,MobileMoney,27943353,INITIALIZED,27943353,489,490,491,492,493,,,,,
496,Transaction failed reason Read timed out,MobileMoney,27944259,Failed,27944259,497,498,499,500,501,,,,,
504,Transaction failed reason Host timed out,BankTransfer,27944356,Failed,27944356,505,506,507,508,509,,,,,
520,Transaction failed reason Transaction Failed- Failed to reach third party system,MobileMoney,27946217,Failed,27946217,521,522,523,524,525,,,,,
528,Transaction completed successfully,BankTransfer,27946472,Success,27946472,529,530,531,532,533,,,,,
536,Transaction completed successfully,BankTransfer,27946536,Success,27946536,537,538,539,540,541,,,,,
552,Transaction failed reason Validation:Transaction Duplicate,BankTransfer,27946589,Failed,27946589,553,554,555,556,557,0,,,,
560,Transaction failed reason Invalid Account Number,BankTransfer,27947056,Failed,27947056,561,562,563,564,565,0,,,,
568,Transaction failed reason Invalid Account Number,BankTransfer,27947109,Failed,27947109,569,570,571,572,573,0,,,,
576,Transaction completed successfully,BankTransfer,27947114,Success,27947114,577,578,579,580,581,0,,,,
584,Transaction completed successfully,BankTransfer,27947143,Success,27947143,585,586,587,588,589,0,,,,
592,Transaction failed reason Transaction Failed- Failed to reach third party system,MobileMoney,27947168,Failed,27947168,593,594,595,596,597,0,,,,
600,Transaction failed reason Transaction Failed- Failed to reach third party system,MobileMoney,27947173,Failed,27947173,601,602,603,604,605,0,,,,
608,Transaction failed reason Validation Deposit Limits exceeded,MobileMoney,27932727,Failed,27932727,609,610,611,612,613,0,2020-10-28T12:19:22.806Z[GMT],,2020-10-28T12:19:22.245Z[GMT],
616,Transaction is being processed,BankTransfer,27947911,PROCESSING,27947911,617,618,619,620,621,0,2020-10-28T13:11:54.812Z[GMT],,2020-10-28T13:11:54.189Z[GMT],
632,Transaction failed reason Validation:Transaction Duplicate,BankTransfer,27947958,Failed,27947958,633,634,635,636,637,0,2020-10-28T14:49:04.555Z[GMT],,2020-10-28T14:49:04.406Z[GMT],
640,Transaction failed reason Validation: System error,BankTransfer,27948146,Failed,27948146,641,642,643,644,645,0,2020-10-28T15:15:38.430Z[GMT],,2020-10-28T15:15:05.146Z[GMT],
648,Transaction failed reason Validation: System error,BankTransfer,27947951,Failed,27947951,649,650,651,652,653,0,2020-10-28T15:15:48.763Z[GMT],,2020-10-28T15:15:46.024Z[GMT],
656,Transaction failed reason Transaction Failed- Failed to reach third party system,MobileMoney,27951100,Failed,27951100,657,658,659,660,661,0,2020-10-30T12:56:52.687Z[GMT],,2020-10-30T12:56:39.864Z[GMT],
664,Transaction failed reason Transaction Failed- Failed to reach third party system,MobileMoney,27951106,Failed,27951106,665,666,667,668,669,0,2020-10-30T12:59:01.538Z[GMT],,2020-10-30T12:58:49.025Z[GMT],
672,Transaction failed reason Transaction Failed- Failed to reach third party system,MobileMoney,27951112,Failed,27951112,673,674,675,676,677,0,2020-10-30T13:01:35.830Z[GMT],,2020-10-30T13:01:14.390Z[GMT],
680,Transaction failed reason Validation Deposit Limits exceeded,MobileMoney,27951164,Failed,27951164,681,682,683,684,685,0,2020-10-30T13:13:36.282Z[GMT],,2020-10-30T13:13:33.583Z[GMT],
695,Transaction is being processed,BankTransfer,27953125,PROCESSING,27953125,696,697,698,699,700,0,2020-11-03T06:41:57.714Z[GMT],,2020-11-03T06:41:27.397Z[GMT],
717,Transaction is being processed AGAIN,BankTransfer,27939583,PROCESSING REFERENCE {27939583},27939583,718,719,720,721,722,0,2020-11-03T15:17:49.668Z[GMT],,2020-11-03T15:17:49.129Z[GMT],
723,Transaction is being processed AGAIN,BankTransfer,27954531,PROCESSING REFERENCE {27954531},27954531,724,725,726,727,728,0,2020-11-03T15:17:49.711Z[GMT],,2020-11-03T15:17:49.464Z[GMT],
